receptor,site_id,copy,ligand,smiles,center_x,center_y,center_z,box_size,success,binding_energy,output
a9a10_2to3_apo_reference,7,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-56.07,17.94,-1.72,15,True,-4.933,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site7_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,7,2,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-30.51,50.2,9.34,17.2,True,-5.651,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site7_copy2_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,7,3,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-24.94,-0.85,54.52,15,True,-5.43,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site7_copy3_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,35,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,5.79,-3.2,-4.59,15.26,True,-5.378,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site35_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,19,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-42.47,37.0,9.34,20.060000000000002,True,-6.991,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site19_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,25,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-43.53,-0.35,8.84,15,True,-5.078,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site25_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,18,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-54.34,10.62,15.64,15,True,-6.785,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site18_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,18,2,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-20.41,17.15,50.08,15,True,-6.423,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site18_copy2_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,26,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-34.15,29.08,0.27,15,True,10.478,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site26_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,38,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,0.79,-0.35,-0.56,15,True,-5.076,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site38_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,13,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-35.69,14.15,8.28,15,True,-7.02,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site13_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,13,2,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-23.61,29.71,13.46,15,True,-7.06,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site13_copy2_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,40,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,38.26,-20.64,-32.11,15,True,-6.896,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site40_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,31,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-8.72,6.28,-8.76,15,True,-7.957,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site31_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,32,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,14.05,-7.79,-11.34,15,True,-7.814,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site32_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,33,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,6.72,-2.99,-4.77,15,True,-5.378,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site33_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,14,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-16.13,11.3,33.8,15,True,-6.273,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site14_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,27,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-32.63,30.08,35.55,15,True,-6.185,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site27_copy1_O-ethyl_ascorbate_docked.pdb
a9a10_2to3_apo_reference,37,1,O-ethyl_ascorbate,CCOC(=O)C(=O)OC[C@@H](O)[C@@H]1OC(=O)C(O)=C1O,-0.48,0.49,-0.2,15,True,-5.049,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site37_copy1_O-ethyl_ascorbate_docked.pdb
